source_term	target_term	source_term_frequency	glytoucan_ac	mapping_flag	mapping_score
glycosylated parasitic structure		1			0
disialosyl globopentaosylceramide (DSGb5 (d18:1/16:0))		1			0
N-linked glycan chain		1			0
Thomsen nouveau (Tn) antigen	T antigen	1	G00031MO	gsd_strict	2
high-branched N-glycans		1			0
ABO blood group glycan antigens		1			0
P(1)		1			0
N276_gp120 glycan		1			0
glycan276		1			0
aberrantly glycosylated IgA1		1			0
glycan cap		1			0
disialotetrasaccharides NeuNAc alpha 2----3Gal beta 1----3(NeuNAc alpha 2----6)Gal-NAc-Ser/Thr		1			0
NeuNAc alpha 2----3Gal beta 1----3(NeuNAc alpha 2----3Gal beta 1----4GlcNAc beta 1----6)GalNAc-Ser/Thr		1			0
alpha-galactose		1			0
H epitope		1			0
Fucosylated multi-antennary glycopeptide markers		1			0
glycosylated precursors		1			0
Fucalpha1-->2Fucalpha1-->3[Gal(NAc)beta1-->4]GlcNAc		1			0
N-glycan monosaccharide compositions		1			0
H antigen		1			0
abnormally glycosylated hCG		1			0
Laminin-511		1			0
N-Acetyllactosamine		1			0
V3 loop		1			0
fucosylated leukocyte PSGL-1		1			0
O-linked, sialated glycan		1			0
oligomannose type N-linked glycans		1			0
mannosyl core of complex type N-linked glycans		1			0
MALDI-TOF MS peaks		1			0
CA199.STRA		1			0
6-sulfated galactose		1			0
N-linked glycan at position-276		1			0
Lewis x determinant (Le(x))		1			0
β-1,6-N-acetylglucosamine moiety of N-linked glycan		1			0
glycan chain		1			0
sialyl-T(N)		1			0
alpha2,6-sialyl-T		1			0
alpha2,3-sialyl-T		1			0
Siaalpha2-3Galbeta1-4GlcNAc		1			0
Core 1 glycan, Galβ1-3GalNAc		1			0
Gal beta 1,3GalNAc-PA		1			0
NeuAc alpha 2,3Gal beta 1,3(NeuAc alpha 2,6)GalNAc-PA		1			0
NeuAc alpha 2,3Gal beta 1,3GalNAc-PA		1			0
Sialyl-Lewis X (SLe(x))		1			0
Galβ1-3GlcNAcβ		1			0
V2 loop glycosylation		1			0
de-N-acetyl polysialic acid (dPSA)		1			0
α-L-fucose		1			0
α-(2,6)-linked terminal sialic acid		1			0
α-(2,3)-linked terminal sialic acid		1			0
antibody Fc-glycosylation		1			0
β1,6GlcNAc-branched N-glycans		1			0
galectin‑based magnetic glycan recognition particles		1			0
sialic acid linked α 2-3		1			0
sialic acid linked α 2-6		1			0
sialyl Lewisx	Sialyl Lewis x	1	G00054MO	gsd_strict	2
N,N-diacetyllactosamine (LacdiNAc)		1			0
Tn (GalNAcalpha(1-1)-Thr/Ser)		1			0
T (Galbeta(1-3)-GalNAcalpha(1-1)Thr/Ser)		1			0
Fc domain glycan		1			0
Lewis B	Lewis b	1	G39211DH	gsd_strict	2
glycan phosphatidyl inositol-anchored Fc gamma RIII-1		1			0
mannosylated and fucosylated structures		1			0
beta 1-6-branched N-linked oligosaccharides		1			0
GalNAc (Tn-antigen)		1			0
Galβ1-3GalNAc (T-antigen)		1			0
NeuAcα2-3Galβ1-3GalNAc (sialyl-T-antigen)		1			0
NeuAcα2-6GalNAc (sialyl-Tn-antigen)		1			0
O-sialoglycans		1			0
beta glycan		1			0
Sialyl-Tn antigen (SAalpha2-6 GalNAc alpha-Ser/Thr)	Sialyl-Tn antigen	1	G36123IU	gsd_strict	2
disialylated core fucosylated biantennary structures with α2,6-SA		1			0
sialylated diantennary and hybrid-type glycans		1			0
alpha2,6 sialylation		1			0
alpha2,3 sialylation		1			0
mannose-related N-glycans		1			0
fucose-related sequences		1			0
Lewisx-related sequence		1			0
dextran		1			0
GlcNAc(beta 1-6)GalNAc(alpha 1-OBn) (core 6-Bn)		1			0
N-acetyl galactosaminylated glycans		1			0
N230 glycan		1			0
disialyl-T	Disialyl T antigen	1	G01614ZM	gsd_strict	2
glycan core of the LPG GPI anchor		1			0
Agaricus bisporus (ABA) lectin		1			0
Thomsen-Friedenreich (T) glycotope		1			0
Gb(4)Cer		1			0
Lc(4)Cer		1			0
fucosyl Lc(4)Cer		1			0
disialyl Gb(5)Cer		1			0
O-linked oligosaccharide chains		1			0
b1-6 branched glycan structures		1			0
trimeric Tn antigen (tTn)		1			0
glycosylated polypeptide chain		1			0
phosphatidylinositol glycan moiety		1			0
Lewis Y (Le<sup>Y</sup>)		1			0
ketodeoxynonulosonic acid (Kdn)		1			0
human blood group A-determinant structure		1			0
sLe(x) gangliosides with terminal Neu5Acα2-3Galβ1-4(Fucα1-3)GlcNAc epitope		1			0
type 1 chain (Gal beta 1-3GlcNAc beta 1-)		1			0
PrPC		1			0
Sia-containing glycan epitope		1			0
fucosylated oligosaccharide		1			0
P-selectin glycan ligands		1			0
6-sulfo-sialyl-Lewis(x)		1			0
fully sialylated biantennary glycans		1			0
glycan phosphatidylinositol-linked		1			0
alpha-NeuAc-(2----3)-beta-D-Gal		1			0
hexose		1			0
hexosamine		1			0
glycan at N386		1			0
GlcA-GlcNH3+		1			0
Galectin-3		1			0
β-D-1,3-glucan		1			0
glycosylphosphatidylinositol moiety		1			0
neolacto-series GSLs (SSEA-1 and H type 2 antigen)		1			0
complex N-glycans encompassing β1,2 xylose and α1,3 fucose glycoepitopes		1			0
concanavalin A nonreactive fraction		1			0
concanavalin A weakly reactive fraction		1			0
sialyl-Lewisx (Si-Lex)		1			0
core 6-related epitope on core mucin glycans		1			0
Mucin type O-glycan		1			0
O-linked sialylated keratan sulfate chains		1			0
GalNAcbeta1-4(Fucalpha1-3)GlcNAc		1			0
phosphatidylinositol		1			0
glycosylated in the light chain variable region		1			0
glycosylated recombinant form of human IL-6		1			0
biantennary N-linked glycans		1			0
GalNAcalpha1-->Ser/Thr (Tn)		1			0
Galbeta1-->3GalNAcalpha1-->Ser/Thr (T(alpha))		1			0
Lewis-x		1			0
Thomsen-Friedenreich (Tf) antigen	T antigen	1	G00031MO	gsd_strict	2
Sialyl Thomsen-nouveau (STn) antigen	Sialyl-Tn antigen	1	G36123IU	gsd_strict	2
Sialic Acid Binding Immunoglobulin-like Lectins		1			0
O-glycan biosynthesis		1			0
sialylated core 1 type O-glycans		1			0
glycan structure		1			0
phosphatidylinositol glycan (PI-G) anchor		1			0
α2,3-linked N-sialyllactose polymer		1			0
N-acetylneuraminic acid	Neu5Ac	1		gsd_strict	2
glycosylated antigens		1			0
lambda-carrageenan		1			0
DUPAN-2		1			0
mucin O-glycosylation		1			0
haptoglobin bifucosylated tetra-antennary glycan		1			0
mannosylated structures		1			0
6-sulfo LacNAc	6-Sulfo LacNac	1	G13157WZ	gsd_strict	2
sialomucin		1			0
LCA-binding AFP		1			0
O-GalNAcylation		1			0
Asialoglycoproteins		1			0
hyposialylated CD43		1			0
N463		1			0
mucin core peptide (MUC) 2		1			0
MUC3		1			0
TFF3		1			0
asparagine-linked carbohydrates		1			0
high-affinity glycan ligand		1			0
3'-sialyl-N-acetyllactosamine		1			0
6'-sialyl-N-acetyllactosamine		1			0
sialyllacto-N-tetraose b		1			0
N-Glycan biosynthesis		1			0
alpha 2-->8-linked disialylated poly-N-acetyllactosamine		1			0
glycosylphosphatidylinositol (GPI) glycan		1			0
GalNAcalpha1-O-Ser/Thr (Tn)		1			0
NeuAcalpha2-6GalNAcalpha1-O-Ser/Thr (STn)		1			0
sulphated glycans		1			0
LeX	Lewis x	1	G00051MO	gsd_strict	2
473HD		1			0
sialyl Lewis X (SLeX)		1			0
α 2,6-linked tri-sialylated triantennary glycan containing α1,3-linked fucose		1			0
glycan-containing surfaces		1			0
phosphatidyl inositol glycan (PIG)		1			0
HBGAs		1			0
N-Acetylneuraminic Acid (Neu5Ac)		1			0
oligomannose type glycosylation		1			0
teichoic acid		1			0
Galβ1-3GlcNAc		1			0
bisecting glucosaminylated biantennary		1			0
sulfated sialyl Lewis x		1			0
lactosamine		1			0
Asn-linked glycans		1			0
3-sialyl di-Lewis x		1			0
mono- and difucosylated forms of the disaccharide lactose		1			0
Lewis(x) and/or Lewis(y) epitopes		1			0
(GlcNAcbeta1-3/4Glc)		1			0
type 2 (Galbeta1-4GlcNAc)		1			0
serotransferrin glycoforms		1			0
glycan part of the 22C3 epitope		1			0
α-2,6 linked SA		1			0
phosphatidyl-inositol-glycan-anchored glycoprotein		1			0
phosphatidylinositol glycan anchored protein (PIG-AP)		1			0
mannose-binding lectins		1			0
beta(1,6)-branched N-linked glycan structures		1			0
L-PHA reactive glycoproteins		1			0
unsialylated N-linked glycans		1			0
laminaribioside		1			0
chitobioside		1			0
Manβ1-4GlcNAcβ		1			0
n-butyrate- and acetate-modified ManNAc analogues		1			0
nonsulfated HNK-1 epitope		1			0
di-N-acetylchitobiosyl		1			0
type 1 and 11 ABH blood group epitopes		1			0
Galactosamine		1			0
blood group A tetrasaccharide type II		1			0
BgA trisaccharide		1			0
glycan microheterogeneity		1			0
sialyl-fucosylated core 2 O-glycan (CHO-131 antigen)		1			0
sulfated Lewis X determinants		1			0
Sialyl Lewis x (sLe(x))	Sialyl Lewis x	1	G00054MO	gsd_strict	2
Sialyl Lewis a (sLe(a))		1			0
sialooligosaccharide sequences		1			0
GD3 ganglioside		1			0
Lewis y antigen		1			0
Forssman determinant		1			0
asparagine-linked sugar chain		1			0
glycan portion of the GPI anchor		1			0
sialyl-Lewisa/x (sLea/sLex)		1			0
N-acetyl glycan groups		1			0
LacCer (d18:1-h23:0)		1			0
N-glycan moieties		1			0
proinflammatory IgG glycans		1			0
terminal alpha- and beta-linked GalNAc residues		1			0
6-sulfo sialyl Lewis(x)		1			0
O-linked oligosaccharide	O-linked glycans	1		gsd_strict	2
myo-inositol		1			0
D-chiro inositol		1			0
mannan epitope of Saccharomyces cerevisiae (gASCA)		1			0
laminaribioside (ALCA)		1			0
chitobioside (ACCA)		1			0
mannobioside (AMCA)		1			0
outer membrane porins (Omp)		1			0
branched hexasaccharides, NeuNAc alpha 2----3Gal beta 1----3(NeuNAc alpha 2----3Gal beta 1----4GlcNAc beta 1----6)GalNAc		1			0
tetrasaccharides NeuNAc alpha 2----3Gal beta 1----3(NeuNAc alpha 2----6)GalNAc		1			0
Tn antigen (GalNAcα-Ser/Thr)		1			0
IgG hypogalactosylation		1			0
decreased galactosylation of IgG		1			0
O-glycan-peptide signatures		1			0
core 2-containing O-glycans		1			0
T-antigen (Galbeta1-3GalNAc-Thr/Ser)		1			0
type I and II ABH blood group epitopes		1			0
sialylated Hp		1			0
fucosylated Hp		1			0
Hp		1			0
glycans in CA125		1			0
arabinoxylan		1			0
glycosyl-PI (GPI) anchor		1			0
anti-disialosyl galactosyl globoside		1			0
anti-fucosyl GM1		1			0
anti-Gb2		1			0
asialo-lactosamine		1			0
glycan epitope on CD52g		1			0
beta-D-GalpNAc-(1-->4)[alpha-L-Fucp-(1-->3)]-beta-D-GlcpNAc		1			0
Tn glycotope		1			0
Ga1NAc		1			0
O-linked monosaccharide glycans		1			0
high-molecular-weight glycosylated exoprotein		1			0
N-linked glycosylation pattern		1			0
lacdiNAc sequence GalNAc beta 1-->4GlcNAc beta 1-R		1			0
β1,6 GlcNAc (N-acetylglucosamine) branches		1			0
Galbeta1-3GlcNAc		1			0
incompletely sialylated N-linked glycans		1			0
core I O-glycans		1			0
monosialyl T antigen		1			0
disialyl T antigen	Disialyl T antigen	1	G01614ZM	gsd_strict	2
90K		1			0
mucin-type O-glycan biosynthesis		1			0
O-Acetyl-GD2		1			0
N362 glycan		1			0
N463 glycan		1			0
Tn antigen (GalNAcalpha-O-Ser/Thr)		1			0
high mannose type		1			0
complex type		1			0
sialofucosylated structures		1			0
lipoarabinomannan		1			0
Ulex Europaeus Agglutinin I (UEA-I)		1			0
glycosphingolipid		1			0
core 1 O-glycans (Gal beta 1-3GalNAc alpha 1-Ser/Thr)		1			0
high-mannose and hybrid glycoforms		1			0
mannose-5 or mannose-6 glycoform		1			0
hybrid glycoform		1			0
Man3-GlcN-inositol		1			0
high-mannose-type sugars	High mannose	1	G55220VL	gsd_strict	2
Fucosylated glycans, including H-antigen		1			0
O-glycan core 2 structure [Gal beta 1-3(GlcNAc beta 1-6)GalNAc]		1			0
SSEA-1	SSEA-1	1	G85497PI	gsd_strict	2
sialyl Lewis X (sLe<sup>x</sup>)		1			0
mannan epitope of S. cerevisiae		1			0
gASCA		1			0
ALCA		1			0
AMCA		1			0
biantennary disialylated N-glycan completed with two Neu5Acalpha2-3 residues		1			0
GM4 sialylated glycolipid Neu5Acalpha2-3Galbeta1-Cer		1			0
1,7 intramolecular lactone of N-acetyl-neuraminic acid		1			0
N-linked and O-linked HNK-1-like epitopes		1			0
HIV-specific Fc-glycans		1			0
cell surface glycans		1			0
alpha 2-6-linked Sias		1			0
phosphoinositol (PI) glycan moiety		1			0
alpha2beta1 integrin		1			0
glycan at N160		1			0
glycan at N276		1			0
alpha 2,6-linked sialic acid		1			0
alpha1,4-GlcNAc-capped O-glycans		1			0
α2,3-NeuAc-containing glycoproteins		1			0
PD-L1		1			0
T-Antigen (Gal-beta1,3-GalNAc-alpha-O-Ser/Thr)		1			0
fucosylated lactosamines		1			0
complex hybrid glycans		1			0
Gal4,4,4TRI		1			0
Gal4,4,3TRI		1			0
fucosyl biantennary complex type structure		1			0
nonfucosylated biantennary structure		1			0
ABH blood group epitopes		1			0
high mannose-type glycans		1			0
glycan in the Fc domain of tmab		1			0
O-linked N-acetylgalactosamine		1			0
GalNAc beta(1-4)[Fuc alpha(1-3)]GlcNAc beta-OMe		1			0
IgA1 N-linked and O-linked glycans		1			0
chondroitin-4 sulfate		1			0
sulfated blood group chains		1			0
N-linked high mannose type		1			0
GlcNAcalpha1-->4Galbeta-->R		1			0
N-glycan at Asn297		1			0
branched N-glycan		1			0
phosphatidylinositol-glycan-linked Fc gamma RIII		1			0
N-linked high mannose glycans		1			0
PIGL		1			0
glycans attached to both Cbeta and Calpha domains		1			0
3'-sialyl-6-sulfo Lewis a		1			0
Siaα2-6Gal/GalNAc-binding lectins		1			0
glycans and glycosaminoglycans		1			0
3'-sulpho-Le(x)		1			0
3'-sulpho-Le(a)	3'-Sulfo-Lewis a	1	G78706CK	gsd_strict	2
polylactosamine glycans		1			0
α2,6-sialylated glycoconjugates		1			0
triantennary N-linked oligosaccharides		1			0
alpha 1-6-fucosylation of the asparagine-bound GlcNAc		1			0
Neu5Ac alpha 2-3Gal beta 1-3(Neu5Ac alpha 2-6)GalNAc-ol		1			0
Neu5Ac alpha 2-3Gal beta 1-4GlcNAc beta 1-6(Neu5Ac alpha 2-3Gal beta 1-3)GalNAc-ol		1			0
Thy-1		1			0
sialyl Lewis b		1			0
α2-Heremans-Schmid Glycoprotein (AHSG/fetuin A)		1			0
Galectin-8		1			0
Lewisx (Lex)		1			0
Neu5Gcα2-6GalNAcα1-O-Ser/Thr (GcSTn)		1			0
galactose-terminal glycans		1			0
O-linked and complex N-linked glycans		1			0
mannosyl		1			0
N-acetylglucosaminyl		1			0
WFA(+)-CSF1R		1			0
abnormally glycosylated IgA1		1			0
decreased sialylation of IgA1		1			0
galactose deficiency		1			0
abnormally glycosylated polymeric IgA1		1			0
soluble CD89-IgA and IgA-IgG complexes		1			0
glycan phosphoinositol anchor		1			0
N-linked glycan branching		1			0
phosphatidylinositol glycan-linked form of FcRIII		1			0
sialyltransferase ST6GAL1		1			0
phosphatidylinositol glycan-class A		1			0
bulky glycocalyx		1			0
complex type biantennary oligosaccharides		1			0
sialo biantennary oligosaccharides		1			0
complex type triantennary oligosaccharides		1			0
sialic acid (SIA)		1			0
mannose-rich glycans		1			0
sialylated Siglec-F ligands		1			0
CD52 N-linked glycan, in α-2,3 sialic acid linkage with galactose		1			0
β-(1-4)-galactose		1			0
O- and N-glycan chains		1			0
beta-galactosyl-beta-N-acetylglucosamine-galactosaminitol (sialic acid)		1			0
beta-galactose-beta-N-acetylglucosamine-galactosaminitol		1			0
beta-galactose-galactosaminitol		1			0
N-glycan residue		1			0
galactosylated IgG Fc N-linked glycans		1			0
sialylated IgG Fc N-linked glycans		1			0
bisecting N-acetylglucosamine-containing IgG Fc N-linked glycans		1			0
IgG glycan		1			0
N-Acetyl galactosamine residues		1			0
chondroitin type glycosaminoglycans		1			0
core-2-branched O-linked glycans		1			0
high mannose and/or hybrid-type N-glycans		1			0
sialyl T antigen (Neu5Acα2,3Galβ1,3GalNAcα1→)		1			0
Sialyl-Thomsen-nouveau antigen (STn)	Sialyl-Tn antigen	1	G36123IU	gsd_strict	2
Asn-linked oligosaccharide chains		1			0
α2,3-sialylated glycans		1			0
Galbeta1-4(Fucalpha1-3)GlcNAc (Lewis(x))		1			0
GalNAcbeta1-4GlcNAc (LDN)		1			0
3'-Sulfo-Lewis A/C		1			0
CSF114(Glc)		1			0
keto-galactose		1			0
Wisteria floribunda agglutinin-positive Mac-2 binding protein glycan isomer (M2BPGi)		1			0
CT glycans		1			0
A2G2F		1			0
alpha2,6-linked sialic acid-bearing glycans		1			0
Mucin core-2 structure Galbeta1,4GlcNAcbeta1,6(3-O-MeGalbeta1,3)GalNAcalpha-O-Bn		1			0
Globo H precursor (Galbeta1,3GalNAcbeta1,3Galalpha-O-Me)		1			0
Galbeta1,4(6-O-sulfo)-GlcNAcbeta-O-Al		1			0
Galbeta1,3(6-O-sulfo)GlcNAcbeta-O-Al		1			0
core 2 N-acetylglucosamine		1			0
α-2,6-sialic acid		1			0
carbohydrate at position 386		1			0
N160 glycan-V1/V2 site		1			0
glycan backbone of peptidoglycan		1			0
GPI anchor	GPI anchors	1		gsd_strict	2
sulphation of glycans		1			0
Thomsen-Friedenreich (TFα) antigen		1			0
Core2 β1,6-N-acetylglucosaminyltransferase		1			0
high-mannose Glycans		1			0
Glycosylphosphatidylinositols	GPI anchors	1		gsd_strict	2
core glycan		1			0
sialyl-Lewis(x) motif		1			0
O:-linked glycans		1			0
terminal alpha1,4-GlcNAc		1			0
hyaluronic acid		1			0
Sialyl Lewis X (SLe(x))	Sialyl Lewis x	1	G00054MO	gsd_strict	2
sialylated and fucosylated oligosaccharide		1			0
GT1 (d18:1/20:0)		1			0
O-Ac-GD2		1			0
O-Ac-GM4		1			0
anti-GP2		1			0
Sialic acid-binding immunoglobulin-like lectin (Siglec)-8		1			0
glycans of the spike		1			0
6-sulfo sialyl Lewis x (sLe(x))		1			0
2-linked fucosylated glycans		1			0
1,3,4-O-acetyl-N-azidoacetylmannosamine (Ac3ManNAz)		1			0
l-rhamnose (Rha)		1			0
sialylated/fucosylated glycans		1			0
ACE2		1			0
sialylglycans		1			0
α2,3- and α2,6-linked residues of glycoconjugates		1			0
gASCA (anti-Saccharomyces cerevisiae) IgG		1			0
gASCA IgA		1			0
anti-chitobioside (GlcNAc(beta1,4)GlcNAc(beta))		1			0
anti-laminaribioside (Glc(beta1,3)Glb(beta))		1			0
anti-mannobioside (Man(alpha1,3)Man(alpha))		1			0
oligomannosidic structures		1			0
Thomsen-Friedenreich TACA disaccharide		1			0
NPL lectin		1			0
PNA lectin		1			0
LCA lectin		1			0
WGA lectin		1			0
Lewis O-chain		1			0
heptoglycan domain		1			0
glucosylated Lewis O-chains		1			0
elongated PS composed of alternating 2-, and 3-monosubstituted alpha-D-Glcp residues		1			0
Thomsen-Friedenreich (TF; Galβ1,3GalNAcα-)		1			0
Glycosylphosphatidylinositol (GPI) anchor	GPI anchors	1		gsd_strict	2
N-glycan precursors		1			0
fibrillar extracellular matrix of glycans		1			0
α1,3-fucosylated glycans		1			0
Thomsen-nouveau-polysaccharide A1 (Tn-PS A1)		1			0
sialosyl Lewis(a)		1			0
glucuronic acid 3-sulfate		1			0
Sialyl-Lewis X (Slex)	Sialyl Lewis x	1	G00054MO	gsd_strict	2
V3 glycan-dependent		1			0
highly fucosylated high m.w. type 1 Lewis glycans		1			0
ABH group epitopes		1			0
keratan sulfate	Keratan sulfate	1	G82109MW	gsd_strict	2
sialylated N-linked glycans		1			0
C80 glucose-6-monomycolate		1			0
sialylated, fucosylated lactosaminoglycans		1			0
N-acetylgalactosamine beta-1 (GalNAcβ1)		1			0
alpha-2,3-linked sialic acid		1			0
HLA-G		1			0
carrageenan		1			0
alginic acids		1			0
C2-O-sLex	C2-O-sLex	1	G97345NY	gsd_strict	2
sialyl Lewis X (sLe(X)) antigen		1			0
α-galactopyranosyl (α-Gal) epitopes		1			0
β1,6GlcNAc-branched N-linked glycans		1			0
fucosylated LacdiNAc (LDN-F)		1			0
sialofucosylated glycoprotein(s)		1			0
β-D-glycan		1			0
biantennary heavy chain glycans		1			0
fucosylated biantennary N-linked structures		1			0
biantennary N-linked structures		1			0
monoantennary oligosaccharide		1			0
triantennary oligosaccharide		1			0
sialosides		1			0
glycosyl phosphatidylinositol (GPI)-anchored proteins		1			0
sialyl-Lewis x (sLe(x))		1			0
Le glycans		1			0
non-terminal carbohydrate in the mucin O-glycans		1			0
glycosylated form of EDN		1			0
V2-glycan		1			0
CD4-binding-site		1			0
glycan-dependent epitopes		1			0
conserved nonlinear epitope in the V3 region		1			0
CD4BS epitope		1			0
Lewis x (Lex)	Lewis x	1	G00051MO	gsd_strict	2
S121 epitope		1			0
alpha-GalNAc	Tn antigen	1	G57321FI	gsd_strict	2
Tn epitope		1			0
blood group A antigen		1			0
sialyl-Lewis(X)	Sialyl Lewis x	1	G00054MO	gsd_strict	2
sulfatide	Sulfatide	1	G72548RZ	gsd_strict	2
sulfoglucuronyl glycolipids		1			0
Galbeta1,4(Fucalpha1,3)GlcNAc (Lex)		1			0
Lea	Lewis a	1	G00047MO	gsd_strict	2
Leb		1			0
Ley	Lewis y	1	G00052MO	gsd_strict	2
V1V2 glycan		1			0
membrane-proximal glycan		1			0
CD4 binding site glycan		1			0
sialyl-Lewis(a) (sLe(a))		1			0
histo-blood group A trisaccharide		1			0
sialyl-Lewis X/A (sLeX/A)		1			0
core 2 branching structure		1			0
GalNAc-containing oligosaccharides		1			0
mannosylated lipoarabinomannan		1			0
N-acetylhexosamine-sialic acid		1			0
sialyl-Lewis(x) tetrasaccharide		1			0
N-linked glycan-dependent epitope		1			0
glycans located in the V1/V2, V3 and V4 regions		1			0
alpha 3-galactosyl-capped trisaccharide		1			0
beta 4-galactosyl-capped trisaccharide		1			0
glycan-dependent HIV-1 bNAbs		1			0
mannosyl/N-acetylglucosaminyl derivatives		1			0
Gal-GalNAc	T antigen	1	G00031MO	gsd_strict	2
6-sulfo N-acetyllactosamine/Lewis x		1			0
mannose-terminating glycans		1			0
V1V2 glycan site		1			0
sialyl Lewis x-containing glycan		1			0
Tn antigen (GalNAc-α-O-Ser/Thr)		1			0
glycan-dependent monoclonal antibody epitopes		1			0
tRNA-Val		1			0
N-linked glycan profile		1			0
selectin ligand		1			0
glycan biosynthesis and metabolism		1			0
V1V2 glycan-dependent epitopes		1			0
blood group ABO antigens		1			0
Lewis-type epitopes		1			0
fucose containing structures		1			0
sialyl-LeA (SLeA)		1			0
galectin-9		1			0
alpha-L-fucose		1			0
N-acetylneuraminyl, alpha- and beta-galactosyl, and N-acetylhexosaminyl sugars		1			0
6-sulfo sialyl Lewis X-capped O-glycans		1			0
anti-chitobioside carbohydrate antibodies (ACCA)		1			0
anti-laminaribioside carbohydrate antibodies (ALCA)		1			0
anti-mannobioside carbohydrate antibodies (AMCA)		1			0
pANCA		1			0
heavy-chain glycans		1			0
O-glycan branching		1			0
Man5-enriched N-glycans		1			0
glycan or glycopeptide epitope		1			0
glycoform of Dermatophagoides pteronyssinus group 7 allergen (Der p 7)		1			0
lacto-N-fucopentaose III		1			0
